,Location,Price,Size,Rooms,Bathrooms,link
285,Calera Gardens - La Calera,$318.510.000,60m²,1ha.,1ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/verdemonte/calera-gardens/la-calera/6496172
286,vereda chuntame - Cajicá,$874.820.000,"176,8m²",3ha.,4ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/trazo./vereda-chuntame/cajica/6707487
287,vereda chuntame - Cajicá,$760.000.000,"147,7m²",3ha.,4ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/trazo./vereda-chuntame/cajica/6707487
288,vereda chuntame - Cajicá,$279.000.000,"58,25m²",2ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/matiz./vereda-chuntame/cajica/6707406
289,Calera Gardens - La Calera,$344.700.000,"69,7m²",3ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/verdemonte/calera-gardens/la-calera/6496172
290,vereda chuntame - Cajicá,$296.819.000,"58,43m²",2ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/matiz./vereda-chuntame/cajica/6707406
291,Calera Gardens - La Calera,$255.370.000,"47,8m²",1ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/verdemonte/calera-gardens/la-calera/6496172
292,Calera Gardens - La Calera,$673.900.000,127m²,3ha.,4ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/verdemonte/calera-gardens/la-calera/6496172
293,Centro - Bogotá,$348.000.000,"64,16m²",2ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/torre-estacion/centro/bogota/4537129
294,Centro - Bogotá,$233.000.000,"28,77m²",1ha.,1ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/go-life-&-work./centro/bogota/7134285
295,Centro - Bogotá,$396.800.000,"70,02m²",2ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/torre-estacion/centro/bogota/4537129
296,Centro - Bogotá,$302.700.000,"37,59m²",2ha.,1ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/go-life-&-work./centro/bogota/7134285
297,Centro - Bogotá,$736.137.372,"97,17m²",2ha.,3ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/frontier/centro/bogota/6483883
